Original Title,Closest 1,Closest 2,Closest 3,doi,Article_ID
poetics,POETICS,Pontica,Politics,https://doi.org/10.1016/j.poetic.2021.101537,10-1016_j-poetic-2021-101537
pogranicze polish borderlands studies,Pogranicze. Polish Borderlands Studies,Journal of Borderlands Studies,Journal of Korean Studies,empty,-3.07E+18
pogranicze studia społeczne,Studia Społeczne,Konteksty Społeczne,Poznańskie Studia Teologiczne,https://doi.org/10.15290/pss.2017.30.08,10-15290_pss-2017-30-08
polish hyperbaric research,Polish Hyperbaric Research,POLISH POLAR RESEARCH,Polish Maritime Research,empty,-4.67E+18
polish journal of applied psychology,Polish Journal of Applied Psychology,JOURNAL OF APPLIED PSYCHOLOGY,JOURNAL OF APPLIED PHYCOLOGY,https://doi.org/10.1515/pjap-2015-0073,10-1515_pjap-2015-0073
polish journal of applied psychology p  ,Polish Journal of Applied Psychology,JOURNAL OF APPLIED PSYCHOLOGY,JOURNAL OF APPLIED PHYCOLOGY,empty,7.11E+18
polish journal of public health,Indian Journal of Public Health,Iranian Journal of Public Health,JOURNAL OF PUBLIC HEALTH,https://doi.org/10.2478/pjph-2018-0023,10-2478_pjph-2018-0023
polish nursing,CANCER NURSING,BMC NURSING,Polish Libraries,empty,-8.37E+18
polish psychiatry,World Psychiatry,Alpha Psychiatry,BMC Psychiatry,https://doi.org/10.12740/pp/99163,10-12740_pp_99163
polish psychological bulletin   doi  ,PSYCHOLOGICAL BULLETIN,PSYCHONOMIC BULLETIN & REVIEW,Polish Sociological Review,empty,-6.31E+18
political preferences,Political Preferences,POLITICAL SCIENCE,POLITICAL STUDIES,https://doi.org/10.6084/m9.figshare.7149152,10-6084_m9-figshare-7149152
political psychology,POLITICAL PSYCHOLOGY,BIOLOGICAL PSYCHOLOGY,ECOLOGICAL PSYCHOLOGY,https://doi.org/10.1111%2Fpops.12572,10-1111%2Fpops-12572
polityka społeczna,Polityka Społeczna,PEDAGOGIKA SPOŁECZNA,Polityka i Społeczeństwo,empty,2.07E+18
pomegranate,Pomegranate,Aggregate,GRANA,https://doi.org/10.1558/pome.33300,10-1558_pome-33300
pomeranian journal of life sciences,Iranian Journal of Earth Sciences,Arabian Journal of Geosciences,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,https://doi.org/10.21164/pomjlifesci.635,10-21164_pomjlifesci-635
poradnik językowy,Kształcenie Językowe,Pojazdy Szynowe,Pravni zapisi,https://doi.org/10.33896/porj.2021.6.3,10-33896_porj-2021-6-3
postepy w kardiologii interwencyjnej,Postępy w Kardiologii Interwencyjnej,POSTĘPY BIOLOGII KOMÓRKI,Postępy Dermatologii i Alergologii,https://doi.org/10.5114/aic.2020.93915,10-5114_aic-2020-93915
praca socjalna,Praca Socjalna,Prisma Social,Acta Koreana,https://doi.org/10.5604/01.3001.0015.5795,10-5604_01-3001-0015-5795
praktyka teoretyczna,Praktyka Teoretyczna,Polityka Społeczna,Dydaktyka Polonistyczna,https://doi.org/10.14746/prt.2021.2.6,10-14746_prt-2021-2-6
praxis der kinderpsychologie und kinderpsychiatrie,PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE,Clinical Child Psychology and Psychiatry,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,https://doi.org/10.13109/prkk.2018.67.7.639,10-13109_prkk-2018-67-7-639
prima educatione,Prima Educatione,BJA Education,In Education,https://doi.org/10.17951/pe.2021.5.231-233,10-17951_pe-2021-5-231-233
primates,PRIMATES,Climate,Images,https://doi.org/10.1007/s10329-019-00772-7,10-1007_s10329-019-00772-7
problems of forensic sciences,JOURNAL OF FORENSIC SCIENCES,ANNALS OF FOREST SCIENCE,JOURNAL OF FIRE SCIENCES,empty,-7.92E+18
problemy higieny i epidemiologiiproblems of hygiene and epidemiology,Emerging Themes in Epidemiology,Revista Gestao & Tecnologia-Journal of Management and Technology,Physicochemical Problems of Mineral Processing,empty,-7.87438E+15
problemy kryminalistyki,Problemy Kryminalistyki,Problemy Jakości,Problemy Współczesnej Kryminalistyki,empty,-1.41E+18
problemy opiekuńczowychowawcze,PROBLEMY OPIEKUŃCZO WYCHOWAWCZE,Problemy Ekorozwoju,PSYCHOLOGIA WYCHOWAWCZA,https://doi.org/10.5604/01.3001.0012.4710,10-5604_01-3001-0012-4710
problemy higieny i epidemiologii,GENETIC EPIDEMIOLOGY,Polimeros-Ciencia e Tecnologia,Journal of Cancer Epidemiology,empty,5.35E+17
proceedings of the national academy of sciences,Proceedings of the Estonian Academy of Sciences,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,Annals of the New York Academy of Sciences,https://doi.org/10.1073/pnas.1912343117,10-1073_pnas-1912343117
proceedings of the royal society b biological sciences,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,https://doi.org/10.1098/rspb.2019.2941rspb20192941,10-1098_rspb-2019-2941rspb20192941
proceedings of the sts conference graz ,PROCEEDINGS OF THE IEEE,PROCEEDINGS OF THE NUTRITION SOCIETY,Proceedings of the VLDB Endowment,empty,-3.03E+18
progress in neuropsychopharmacology and biological psychiatry,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,Progress in Neurology and Psychiatry,Journal of Psychopathology and Clinical Science,https://doi.org/10.1016/j.pnpbp.2018.06.006,10-1016_j-pnpbp-2018-06-006
progress in neurobiology,PROGRESS IN NEUROBIOLOGY,Progress in Nutrition,Frontiers in Microbiology,https://doi.org/10.1016/j.pneurobio.2016.11.002,10-1016_j-pneurobio-2016-11-002
progress journal of young researchers,European Journal of Tourism Research,EUROPEAN JOURNAL OF FOREST RESEARCH,Chinese Journal of Cancer Research,https://doi.org/10.26881/prog.2019.6.02,10-26881_prog-2019-6-02
protetyka stomatologiczna,Minerva Stomatologica,Nowa Stomatologia,Przegląd Dermatologiczny,https://doi.org/10.5604/01.3001.0011.6804,10-5604_01-3001-0011-6804
przedsiębiorczość i zarządzanie,Przedsiębiorczość - Edukacja,Przedsiębiorstwo Przyszłości,Akademia Zarządzania,empty,-9.02E+18
przedszkolne abc,Rzeczoznawca,PRESLIA,PEDOBIOLOGIA,empty,2.55E+18
przeglad epidemiologiczny,Przegląd Dermatologiczny,Przegląd Archeologiczny,Przegląd Politologiczny,https://doi.org/10.32394/pe.74.46,10-32394_pe-74-46
przegląd prawa administracyjnego,Przegląd Prawa Administracyjnego,Przegląd Prawa i Administracji,Przegląd Prawa Konstytucyjnego,empty,8.45E+17
przegląd socjologii jakościowej,PRZEGLĄD SOCJOLOGII JAKOŚCIOWEJ,PRZEGLĄD SOCJOLOGICZNY,Przegląd Politologiczny,https://doi.org/10.18778/1733-8069.16.1.11,10-18778_1733-8069-16-1-11
przegląd więziennictwa polskiego,PRZEGLĄD PRAWA ROLNEGO,Przegląd Zachodniopomorski,Przegląd Prawa Publicznego,empty,1.13E+18
psicologia reflexao e critica,Psicologia-Reflexao e Critica,Psicologia Educativa,Psicologia e Saber Social,https://doi.org/10.1186/s41155-020-00152-x,10-1186_s41155-020-00152-x
psicologia reflexão e crítica,Psicologia-Reflexao e Critica,Psicologia Educativa,Psicologia e Saber Social,https://doi.org/10.1186/s41155-020-00152-x,10-1186_s41155-020-00152-x
psicológica,Psicologica,Psihologija,Psychologica,empty,3.07E+18
psychiatr pol,Psychiatria Polska,Psychoterapia,PsyCh Journal,empty,-5.99E+18
psychiatr psychol klin,Social Psychology,Psychiatry Psychology and Law,PSYCHIATRISCHE PRAXIS,https://doi.org/10.15557/pipk.2021.0003,10-15557_pipk-2021-0003
psychiatria,PSYCHOLOGIA,PSYCHOMETRIKA,Geriatria,empty,3.24E+18
psychiatria danubina,Psychiatria Danubina,Psychiatria Polska,PSYCHIATRIC GENETICS,https://doi.org/10.24869/psyd.2017.322,10-24869_psyd-2017-322
psychiatria po dyplomie,Psychiatria Polska,Psychiatria Danubina,Psychiatric Bulletin,empty,3.26E+18
psychiatry research  neuroimaging,PSYCHIATRY RESEARCH-NEUROIMAGING,PSYCHIATRY RESEARCH,Biochemistry Research International,https://doi.org/10.1016/j.pscychresns.2018.01.001,10-1016_j-pscychresns-2018-01-001
psychiatry psychology and law,Psychiatry Psychology and Law,Psychology and Law,PSYCHOLOGY PUBLIC POLICY AND LAW,https://doi.org/10.1080/13218719.2020.1733697,10-1080_13218719-2020-1733697
psychoanalytic psychology,PSYCHOANALYTIC PSYCHOLOGY,Psychoanalytic Psychotherapy,Psychoanalytic Social Work,https://doi.org/10.1037/pap0000373,10-1037_pap0000373
psychogeriatrics,Psychogeriatrics,PSYCHOSOMATICS,BMC Geriatrics,https://doi.org/10.1111/psyg.12381,10-1111_psyg-12381
psychologia ekonomiczna,PSYCHOLOGIA WYCHOWAWCZA,Psychologia Rozwojowa,PSYCHOLOGICA BELGICA,https://doi.org/10.15678/pjoep.2017.11.02,10-15678_pjoep-2017-11-02
psychologia rozwojowadevelopmental psychology,European Journal of Developmental Psychology,JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,https://doi.org/10.4467/20843879pr.19.011.10894,10-4467_20843879pr-19-011-10894
psychologia wychowawcz,PSYCHOLOGIA WYCHOWAWCZA,Psychologia Rozwojowa,PSYCHOLOGICAL SCIENCE,https://doi.org/10.5604/01.3001.0014.2650,10-5604_01-3001-0014-2650
psychologia w praktyce nr  s ,PSYCHOLOGIA WYCHOWAWCZA,Psychologie Francaise,PSYCHOLOGICAL REPORTS,empty,4.87E+18
psychologia w szkole,Psychologia Rozwojowa,Psicologia Sociale,PSYCHOLOGICAL RECORD,empty,3.34E+18
psychologica belgica,PSYCHOLOGICA BELGICA,GEOLOGICA BELGICA,Psychological Services,https://doi.org/10.5334/pb.487,10-5334_pb-487
psychological assessment,PSYCHOLOGICAL ASSESSMENT,PSYCHOLOGICAL SCIENCE,PSYCHOLOGICAL REVIEW,https://doi.org/10.1037/pas0000745,10-1037_pas0000745
psychological bulletin,PSYCHOLOGICAL BULLETIN,BIOLOGICAL BULLETIN,Psychiatric Bulletin,https://doi.org/10.1037/bul0000220,10-1037_bul0000220
psychological inquiry,PSYCHOLOGICAL INQUIRY,SOCIOLOGICAL INQUIRY,PSYCHOLOGICAL REVIEW,https://doi.org/10.1080/1047840x.2019.1693867,10-1080_1047840x-2019-1693867
psychological journal  ,Archaeological Journal,GEOLOGICAL JOURNAL,PsychNology Journal,empty,4.73E+18
psychological reports  ,PSYCHOLOGICAL REPORTS,PSYCHOLOGICAL RECORD,Physiological Reports,https://doi.org/10.1177/0033294119872208,10-1177_0033294119872208
psychological reports  ,PSYCHOLOGICAL REPORTS,PSYCHOLOGICAL RECORD,Physiological Reports,https://doi.org/10.1177/0033294119872208,10-1177_0033294119872208
psychological research,PHYCOLOGICAL RESEARCH,PHYSIOLOGICAL RESEARCH,ECOLOGICAL RESEARCH,https://doi.org/10.1007/s00426-018-1120-6,10-1007_s00426-018-1120-6
psychological services,Psychological Services,PSYCHOLOGICAL REVIEW,PSYCHOLOGICAL SCIENCE,https://doi.org/10.1037/ser0000421,10-1037_ser0000421
psychological test adaptation and development,PUBLIC ADMINISTRATION AND DEVELOPMENT,MOLECULAR REPRODUCTION AND DEVELOPMENT,Petroleum Exploration and Development,https://doi.org/10.1027/2698-1866/a000007,10-1027_2698-1866_a000007
psychologie a její kontexty,Psychology & Sexuality,PSYCHOLOGICAL REPORTS,PSYCHOLOGICAL MEDICINE,https://doi.org/10.15452/psyx.2020.11.0010,10-15452_psyx-2020-11-0010
psychology,PSYCHOLOGIA,PATHOLOGY,PSYCHOLOGIST,https://doi.org/10.4236/psych.2018.99132,10-4236_psych-2018-99132
psychology  health,PSYCHOLOGY & HEALTH,Psychology & Sexuality,Psychology and Law,https://doi.org/10.1080/08870446.2018.1489049,10-1080_08870446-2018-1489049
psychology  sexuality,Psychology & Sexuality,Theology & Sexuality,PSYCHOLOGY & HEALTH,https://doi.org/10.1080/19419899.2020.1752786,10-1080_19419899-2020-1752786
psychology research,ONCOLOGY RESEARCH,PSYCHIATRY RESEARCH,Hydrology Research,https://doi.org/10.17265/2159-5542/2019.08.002,10-17265_2159-5542_2019-08-002
psychology research and behavior management,Psychology Research and Behavior Management,Transplant Research and Risk Management,SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,https://doi.org/10.2147/prbm.s271558,10-2147_prbm-s271558
psychology research   pp ,ONCOLOGY RESEARCH,PSYCHIATRY RESEARCH,Hydrology Research,https://doi.org/10.17265/2159-5542/2018.07.001,10-17265_2159-5542_2018-07-001
psychology and aging,PSYCHOLOGY AND AGING,Psychology and Law,PSYCHOLOGY & MARKETING,https://doi.org/10.1037/pag0000239,10-1037_pag0000239
psychology and health,PSYCHOLOGY & HEALTH,Psychology and Law,PSYCHOLOGY AND AGING,https://doi.org/10.1080/08870446.2020.1784419,10-1080_08870446-2020-1784419
psychology and law,Psychology and Law,PSYCHOLOGY AND AGING,PSYCHOLOGY CRIME & LAW,https://doi.org/10.17759/psylaw.2020100306,10-17759_psylaw-2020100306
psychology in the schools,PSYCHOLOGY IN THE SCHOOLS,COMPUTERS IN THE SCHOOLS,PSYCHOLOGY & HEALTH,https://doi.org/10.1002/pits.22413,10-1002_pits-22413
psychology of aesthetics creativity and the arts,Psychology of Aesthetics Creativity and the Arts,Psychology in Russia-State of the Art,Journal of Mathematics and the Arts,empty,4.98E+18
psychology of language and communication,Hearing Balance and Communication,LANGUAGE & COMMUNICATION,Journal of Language and Politics,https://doi.org/10.2478/plc-2019-0011,10-2478_plc-2019-0011
psychology of music,Psychology of Music,Psychology of Violence,PSYCHOLOGY & HEALTH,https://doi.org/10.1177/0305735619861831,10-1177_0305735619861831
psychology of personality,Psychology & Sexuality,JOURNAL OF PERSONALITY,PSYCHOLOGY & HEALTH,https://doi.org/10.15330/ps.11.1.54-58,10-15330_ps-11-1-54-58
psychology of religion and spirituality,Psychology of Religion and Spirituality,Psychology of Men & Masculinity,PSYCHOLOGY OF SPORT AND EXERCISE,https://doi.org/10.1037/rel0000255,10-1037_rel0000255
psychology of sexual orientation and gender diversity,Psychology of Religion and Spirituality,PSYCHOLOGY OF SPORT AND EXERCISE,Psychology of Aesthetics Creativity and the Arts,https://doi.org/10.1037/sgd0000446,10-1037_sgd0000446
psychology of sport and exercise,PSYCHOLOGY OF SPORT AND EXERCISE,Psychology of Popular Media,Journal of Human Sport and Exercise,https://doi.org/10.1016/j.psychsport.2017.09.007,10-1016_j-psychsport-2017-09-007
psychology crime  law,PSYCHOLOGY CRIME & LAW,Psychology and Law,PSYCHOLOGY & HEALTH,https://doi.org/10.1080/1068316x.2018.1511789,10-1080_1068316x-2018-1511789
psychoneuroendocrinology,PSYCHONEUROENDOCRINOLOGY,NEUROENDOCRINOLOGY,PSYCHO-ONCOLOGY,https://doi.org/10.1016/j.psyneuen.2019.05.027,10-1016_j-psyneuen-2019-05-027
psychoonkologia,Psycho-Oncologie,PSYCHO-ONCOLOGY,PSYCHOLOGIA,empty,-4.96E+18
psychophysiology,PSYCHOPHYSIOLOGY,PSYCHOPATHOLOGY,NEUROPHYSIOLOGY,https://doi.org/10.1111/psyp.13318,10-1111_psyp-13318
psychosis,PSYCHOLOGIST,SYMBIOSIS,Synesis,https://doi.org/10.1080/17522439.2017.1300186,10-1080_17522439-2017-1300186
psychosomatic medicine and general practice,Palliative Medicine in Practice,PSYCHOSOMATIC MEDICINE,Eye & Contact Lens-Science and Clinical Practice,https://doi.org/10.26766/pmgp.v2i4.73,10-26766_pmgp-v2i4-73
psychoterapia,Psychoterapia,Psychotherapie,PSYCHOTHERAPY,https://doi.org/10.12740/pt/110455,10-12740_pt_110455
psychotherapeut,PSYCHOTHERAPEUT,Psychotherapie,PSYCHOTHERAPY,https://doi.org/10.1007/s00278-018-0319-8,10-1007_s00278-018-0319-8
psychotherapy,PSYCHOTHERAPY,Psychotherapie,PSYCHOTHERAPEUT,https://doi.org/10.1037/pst0000348,10-1037_pst0000348
psychotherapy and psychosomatics,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHERAPY RESEARCH,RADIOTHERAPY AND ONCOLOGY,https://doi.org/10.1159/000449470,10-1159_000449470
psyecology,ECOLOGY,PHYSIOLOGY,PHLEBOLOGY,https://doi.org/10.1080/21711976.2020.1734399,10-1080_21711976-2020-1734399
public health nutrition,PUBLIC HEALTH NUTRITION,PUBLIC HEALTH NURSING,Public Health Action,https://doi.org/10.1017/s1368980018003105,10-1017_s1368980018003105
public opinion quarterly,PUBLIC OPINION QUARTERLY,Public Library Quarterly,Adoption Quarterly,https://doi.org/10.1093/poq/nfx048,10-1093_poq_nfx048
public policy studies,Critical Policy Studies,Policy Studies,Baltic-Pontic Studies,empty,-7.86E+18
public health reports washington dc  ,PUBLIC HEALTH REPORTS,PUBLIC HEALTH NURSING,Public Health Research & Practice,https://doi.org/10.1177/0033354917731308,10-1177_0033354917731308
półrocznik językoznawczy tertium,Półrocznik Językoznawczy Tertium,Prace Językoznawcze,Rocznik Przekładoznawczy,https://doi.org/10.7592/tertium2020.5.2.liber,10-7592_tertium2020-5-2-liber
quality of life research,QUALITY OF LIFE RESEARCH,Qualitative Research,Review of Policy Research,https://doi.org/10.1007/s11136-020-02621-3,10-1007_s11136-020-02621-3
quality of life research  an international journal of quality of life aspects of treatment care and rehabilitation,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,Industrial Robot-The International Journal of Robotics Research and Application,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,https://doi.org/10.1007/s11136-017-1705-3,10-1007_s11136-017-1705-3
quarterly journal of experimental psychology,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,European Journal of Developmental Psychology,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,https://doi.org/10.1177/1747021820963310,10-1177_1747021820963310
rehabilitation psychology,REHABILITATION PSYCHOLOGY,Rehabilitation Oncology,Rehabilitation Nursing,https://doi.org/10.1037/rep0000281,10-1037_rep0000281
relaciones laborales y derecho del empleo,Revista General de Derecho Europeo,Revista General de Derecho Penal,Revista General de Derecho Romano,empty,5.39E+18
religion,RELIGION,Religions,Region,https://doi.org/10.1080/0048721x.2019.1681078,10-1080_0048721x-2019-1681078
religions,Religions,RELIGION,Region,https://doi.org/10.3390/rel12070532,10-3390_rel12070532
res facta nova,Hispania Nova,QUIMICA NOVA,TERRA NOVA,empty,-3.39E+18
res facta nova teksty o muzyce współczesnej,Res Facta Nova. Teksty o muzyce współczesnej,Stomatologia Współczesna,Farmacja Współczesna,https://doi.org/10.14746/rfn.2018.19.1,10-14746_rfn-2018-19-1
res humana,Lex Humana,Studia Humana,SPIXIANA,empty,2.44E+17
research ethics,RESEARCH POLICY,Legal Ethics,Research & Politics,https://doi.org/10.1177/1747016120980562,10-1177_1747016120980562
research studies in music education,Research Studies in Music Education,Research Papers in Education,Research in Dance Education,https://doi.org/10.1177/1321103x19830098,10-1177_1321103x19830098
research in autism spectrum disorders,Research in Autism Spectrum Disorders,PARKINSONISM & RELATED DISORDERS,Research in Sports Medicine,https://doi.org/10.1016/j.rasd.2020.101602,10-1016_j-rasd-2020-101602
research in globalization,RESEARCH IN EDUCATION,RESEARCH EVALUATION,Research in Mathematics,https://doi.org/10.1016/j.resglo.2019.100007,10-1016_j-resglo-2019-100007
research in globalization httpsdoiorgjresglo,Research in Organizational Behavior,Research in Learning Technology,Research in Transportation Economics,empty,8.30E+18
resocjalizacja polska,Resocjalizacja Polska,Farmacja Polska,Psychiatria Polska,https://doi.org/10.22432/pjsr.2021.21.03,10-22432_pjsr-2021-21-03
respiratory medicine,RESPIRATORY MEDICINE,LABORATORY MEDICINE,Respiratory Care,https://doi.org/10.1016/j.rmed.2017.04.011,10-1016_j-rmed-2017-04-011
respiratory care,Respiratory Care,RESPIRATORY RESEARCH,RESPIRATORY MEDICINE,https://doi.org/10.4187/respcare.05692,10-4187_respcare-05692
review of behavioral economics,Review of Behavioral Economics,Review of Behavioral Finance,Review of International Economics,https://doi.org/10.1561/105.00000114,10-1561_105-00000114
review of european and comparative law,Review of European and Comparative Law,Central European Journal of Comparative Law,AMERICAN JOURNAL OF COMPARATIVE LAW,https://doi.org/10.31743/recl.6056,10-31743_recl-6056
revista de psicologia social,Revista de Psicologia Social,Revista de Psicologia PUCP,Revista de Antropologia Social,https://doi.org/10.1080/02134748.2017.1385241,10-1080_02134748-2017-1385241
revista de psicologia del deporte,Revista de Psicologia del Deporte,Revista de Psicologia PUCP,Revista de Psicología (UNLP),empty,2.46E+18
revue europeenne de psychologie appliquee,Revue Europeenne des Sciences Sociales,Revue Francaise de Linguistique Appliquee,Revue Roumaine de Philosophie,https://doi.org/10.1016/j.erap.2020.100521,10-1016_j-erap-2020-100521
rhinology,RHINOLOGY,Phonology,Terminology,https://doi.org/10.4193/rhin20.262,10-4193_rhin20-262
rocznik lubuski    httpwwwroczniklubuskiuzzgoraplwydaniatom_rocznik_lubuski__pdf,"Rocznik Polskiego Towarzystwa Heraldycznego, nowa seria",Edukacja Zawodowa i Ustawiczna. Polsko-Ukraiński Rocznik Naukowy,ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO,empty,-6.79E+18
rocznik naukowy akademii wychowania fizycznego i sportu im jędrzeja śniadeckiego,Prace Naukowe Akademii im. Jana Długosza w Częstochowie. Edukacja Muzyczna,ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO,Rocznik Naukowy Kujawsko-Pomorskiej Szkoły Wyższej w Bydgoszczy,empty,-4.21E+18
roczniki humanistyczne,Roczniki Humanistyczne,Roczniki Historyczne,Rocznik Lituanistyczny,https://doi.org/10.18290/rh.2018.66.1-9,10-18290_rh-2018-66-1-9
roczniki kulturoznawcze,Roczniki Kulturoznawcze,Załącznik Kulturoznawczy,Prace Kulturoznawcze,https://doi.org/10.18290/rkult21121-6,10-18290_rkult21121-6
roczniki pedagogiczne,Roczniki Pedagogiczne,Rocznik Pedagogiczny,Roczniki Teologiczne,https://doi.org/10.18290/rped.2018.10.3-5,10-18290_rped-2018-10-3-5
roeper review,POETRY REVIEW,Cepal Review,European Review,https://doi.org/10.1080/02783193.2020.1815265,10-1080_02783193-2020-1815265
roeper reviewa journal on gifted education,Roeper Review-A Journal on Gifted Education,International Journal of STEM Education,South African Journal of Higher Education,empty,1.94E+18
romani studies,Romani Studies,Romance Studies,HUMAN STUDIES,https://doi.org/10.3828/rs.2019.3,10-3828_rs-2019-3
royal society open science,Royal Society Open Science,Surgery Open Science,European Urology Open Science,https://doi.org/10.1098/rsos.200589,10-1098_rsos-200589
rozprawy naukowe akademii wychowania fizycznego we wrocławiu,PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU,Zeszyty Naukowe Akademii Górnośląskiej,Biuletyn Wojskowej Akademii Technicznej,empty,3.38E+18
rozprawy społeczne,Rozprawy Społeczne,Studia Społeczne,Konteksty Społeczne,https://doi.org/10.29316/rs/117910,10-29316_rs_117910
ruch prawniczy ekonomiczny i socjologiczny,"Ruch Prawniczy, Ekonomiczny i Socjologiczny",Myśl Ekonomiczna i Polityczna,PRZEGLĄD SOCJOLOGICZNY,https://doi.org/10.14746/rpeis.2017.79.2.4,10-14746_rpeis-2017-79-2-4
sage open,SAGE Open,JGH Open,BMJ Open,https://doi.org/10.1177/2158244017705423,10-1177_2158244017705423
social psychological bulletin psychologia spoleczna,SOCIAL PSYCHOLOGICAL BULLETIN (PSYCHOLOGIA SPOLECZNA),Social Psychological and Personality Science,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,empty,2.90E+18
societascommunitas,Societas Communitas,Communitas,City & Community,empty,8.16E+18
safety  fire technology,Safety & Fire Technology,FIRE TECHNOLOGY,Defence Technology,empty,-4.73E+18
scandinavian journal of psychology,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,Scandinavian Journal of Urology,https://doi.org/10.1111/sjop.12534,10-1111_sjop-12534
school mental health,School Mental Health,Global Mental Health,AGING & MENTAL HEALTH,https://doi.org/10.1007/s12310-021-09447-5,10-1007_s12310-021-09447-5
scientia et fides,Scientia et Fides,Scientia Medica,SCIENTIA & SOCIETAS,https://doi.org/10.12775/setf.2021.014,10-12775_setf-2021-014
scientic reports,Scientific Reports,SCIENCE & SPORTS,Cancer Reports,https://doi.org/10.1038/s41598-020-74388-z,10-1038_s41598-020-74388-z
scientific journal of the military university of land forces,Scientific Journal of the Military University of Land Forces,Scientific Journal of Gdynia Maritime University,Clinical Journal of the American Society of Nephrology,https://doi.org/10.5604/01.3001.0014.3964,10-5604_01-3001-0014-3964
scientific papers of silesian university of technology organization and management series,Scientific Journal of Silesian University of Technology-Series Transport,JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION,Journal of Health Organization and Management,https://doi.org/10.29119/1641-3466.2017.106.17,10-29119_1641-3466-2017-106-17
scientometrics,SCIENTOMETRICS,Econometrics,Glottometrics,https://doi.org/10.1007/s11192-018-2667-0,10-1007_s11192-018-2667-0
second language research,SECOND LANGUAGE RESEARCH,GONDWANA RESEARCH,SOIL & TILLAGE RESEARCH,https://doi.org/10.1177/0267658316678286,10-1177_0267658316678286
semina scientiarum,MUSICAE SCIENTIAE,AMERICAN SCIENTIST,ius et scientia,https://doi.org/10.15633/ss.2488,10-15633_ss-2488
seminare poszukiwania naukowe,Seminare. Poszukiwania naukowe,Seminars in Pediatric Neurology,SEMINARS IN NEUROLOGY,https://doi.org/10.21852/sem.2019.2.08,10-21852_sem-2019-2-08
sensors,SENSORS,ACS Sensors,HELIOS,https://doi.org/10.3390/s22010103,10-3390_s22010103
sex roles,SEX ROLES,Sexologies,Extremes,https://doi.org/10.1007/s11199-019-01071-7,10-1007_s11199-019-01071-7
sex roles a journal of research,IETE JOURNAL OF RESEARCH,AATCC Journal of Research,European Oral Research,https://doi.org/10.1007/s11199-018-0906-8,10-1007_s11199-018-0906-8
sexual abuse,Sexualities,Sexual Health,Sexual Medicine,https://doi.org/10.1177/1079063217691966,10-1177_1079063217691966
sexual medicine reviews,Sexual Medicine Reviews,SLEEP MEDICINE REVIEWS,Nuclear Medicine Review,https://doi.org/10.1016/j.sxmr.2019.10.003,10-1016_j-sxmr-2019-10-003
sexuality and disability,SEXUALITY AND DISABILITY,Life Span and Disability,FERTILITY AND STERILITY,https://doi.org/10.1007/s11195-017-9512-x,10-1007_s11195-017-9512-x
sign language studies,Sign Language Studies,Sign Systems Studies,Sign Language & Linguistics,https://doi.org/10.1353/sls.2021.0001,10-1353_sls-2021-0001
sleep,SLEEP,Semen,SCREEN,https://doi.org/10.1093/sleep/zsz017,10-1093_sleep_zsz017
sleep medicine,SLEEP MEDICINE,Open Medicine,Cell Medicine,empty,-1.75E+18
sleep medicine,SLEEP MEDICINE,Open Medicine,Cell Medicine,empty,-1.75E+18
social development,SOCIAL DEVELOPMENT,Sexual Development,Neural Development,https://doi.org/10.1111/sode.12480,10-1111_sode-12480
social justice research,Social Justice Research,SOCIAL SCIENCE RESEARCH,SOCIAL WORK RESEARCH,https://doi.org/10.1007/s11211-021-00373-0,10-1007_s11211-021-00373-0
social networks,SOCIAL NETWORKS,NEURAL NETWORKS,SOCIAL WORK,https://doi.org/10.1016/j.socnet.2018.05.002,10-1016_j-socnet-2018-05-002
