Original Title,Closest 1,Closest 2,Closest 3
journal of occupational and environmental medicine,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,Annals of Occupational and Environmental Medicine,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE
journal of pediatric psychology,JOURNAL OF PEDIATRIC PSYCHOLOGY,Journal of Pediatric Neurology,Journal of Pediatric Urology
journal of personality,JOURNAL OF PERSONALITY,Journal of Pregnancy,JOURNAL OF PETROLOGY
journal of the american academy of child  adolescent psychiatry,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,Journal of the Canadian Academy of Child and Adolescent Psychiatry,Journal of the Korean Academy of Child and Adolescent Psychiatry
journal of the endocrine society,Journal of the Endocrine Society,JOURNAL OF THE GEOLOGICAL SOCIETY,Journal of the Scientific Society
journals of gerontology  series b psychological sciences and social sciences,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,Journal of Microbiology Biotechnology and Food Sciences
judgment and decision making,Judgment and Decision Making,MEDICAL DECISION MAKING,IMAGE AND VISION COMPUTING
języki obce w szkole,Języki Obce w Szkole,Językoznawstwo,Wieki Stare i Nowe
kwalęckamatyja  personality and interpersonal sibling relationships in early adulthood  causal analysis archives of psychiatry and psychotherapy   doi app,Materialy po Arkheologii Istorii i Etnografii Tavrii-Materials in Archaeology History and Ethnography of Tauria,Scandinavian Journal of Child and Adolescent Psychiatry and Psychology,Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy
kiele ckie studia psychologiczne,Kieleckie Studia Teologiczne,Świdnickie Studia Teologiczne,Polskie Forum Psychologiczne
klin oczna,Klinika Oczna,Klio Polska,Phainomena
kne life sciences,Open Life Sciences,LIFE SCIENCES,POLICY SCIENCES
kne social sciences,Cogent Social Sciences,Mechanical Sciences,ANALYTICAL SCIENCES
knee,KNEE,VIEW,Teme
kognitywistyka i media w edukacji,Podstawy edukacji,Polonistyka Innowacje,Kultura - Przemiany - Edukacja
konteksty kształcenia muzycznego,Konteksty Społeczne,Konteksty Pedagogiczne.,Konteksty Kultury
konteksty religijności i rodziny,Konteksty Pedagogiczne.,Politics Religion & Ideology,Konteksty Społeczne
konteksty społeczne,Konteksty Społeczne,Konteksty Pedagogiczne.,Rozprawy Społeczne
kosmos,Cosmo,Holos,KYKLOS
kultura bezpieczeństwa nauka  praktyka  refleksje,Bezpieczeństwo Pracy. Nauka i Praktyka,Bezpieczeństwo. Teoria i Praktyka,Studia Bezpieczeństwa Narodowego
kultura i edukacja,Kultura i Edukacja,Cultura y Educacion,Kultura i Historia
kultura i społeczeństwo,Polityka i Społeczeństwo,Media i Społeczeństwo,Państwo i Społeczeństwo
kultura i wartości,Kultura i Wartości,Kultura i Historia,Kultura i Edukacja
kulturaspołeczeństwoedukacja,Kultura-Społeczeństwo-Edukacja,Kultura - Przemiany - Edukacja,Kultura i Edukacja
kwartalnik krajowej szkoły sądownictwa i prokuratury,Kwartalnik Krajowej Szkoły Sądownictwa i Prokuratury,Kwartalnik Naukowy Fides et Ratio,Kwartalnik Nauk o Przedsiębiorstwie
kwartalnik naukowy fides et ratio miłość małżeństwo rodzina ujęcie interdyscyplinarne  ,Filozofia i nauka. Studia filozoficzne i interdyscyplinarne,Kwartalnik Naukowy Fides et Ratio,Nauki o Wychowaniu. Studia Interdyscyplinarne
kwartalnik naukowy fides et ratio porozumiewanie się dialog komunikacja ujęcie integralne,Kwartalnik Naukowy Fides et Ratio,Kwartalnik Historii Żydow-Jewish History Quarterly,"Kwartalnik Stowarzyszenia Sędziów Polskich Iustitia"""""
landscape and urban planning,LANDSCAPE AND URBAN PLANNING,Urban Planning,Landscape Journal
language acquisition,Language Acquisition,LANGUAGE & COMMUNICATION,Language and Cognition
language learning,LANGUAGE LEARNING,Language Teaching,Language Testing
language studies working papers,LANGUAGE SCIENCES,Language and Linguistics,Language Teaching Research
learning and instruction,LEARNING AND INSTRUCTION,LEARNING AND MOTIVATION,COGNITION AND INSTRUCTION
legal and criminological psychology,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,ECOLOGICAL PSYCHOLOGY,Journal of Criminal Psychology
lekarz rodzinny,Lekarz Wojskowy,War & Society,Law & Policy
life,eLife,Rice,GFF
logic journal of the igpl,LOGIC JOURNAL OF THE IGPL,JOURNAL OF THE ACM,JOURNAL OF THE WEST
logic and logical philosophy,Logic and Logical Philosophy,RADICAL PHILOSOPHY,LAW AND PHILOSOPHY
logical investigations,Digital Investigation,IMMUNOLOGICAL INVESTIGATIONS,PHILOSOPHICAL INVESTIGATIONS
logopedia  ,Logopedia,GeoMedia,COPEIA
lurian journal,Design Journal,London Journal,KOREA JOURNAL
magnetic resonance imaging,MAGNETIC RESONANCE IMAGING,Magnetic Resonance Insights,MAGNETIC RESONANCE IN MEDICINE
measurement instruments for the social sciences,Humanities and Social Sciences,AMERICAN JOURNAL OF THE MEDICAL SCIENCES,PHILOSOPHY OF THE SOCIAL SCIENCES
med ogólna nauki zdr,Filozofia Nauki,Medicina Balear,Medyczna Wokanda
media  biznes  kultura dziennikarstwo i komunikacja spoleczna,Media - Biznes - Kultura. Dziennikarstwo i komunikacja spoleczna,Media - Kultura - Komunikacja Społ.,Spoleczeństwo kultura wartości. Studium społeczne
medical decision making,MEDICAL DECISION MAKING,Medical Education Online,Judgment and Decision Making
medical hypotheses,MEDICAL HYPOTHESES,Dental Hypotheses,MEDICAL PHYSICS
medical principles and practice,MEDICAL PRINCIPLES AND PRACTICE,Clinics and Practice,Regional Science Policy and Practice
medical problems of performing artists,MEDICAL PROBLEMS OF PERFORMING ARTISTS,Health Problems of Civilization,MATHEMATICAL PROBLEMS IN ENGINEERING
medical science pulse,Medical Science Pulse,Medical Science,MEDICAL SCIENCE MONITOR
medical studies,AFRICAN STUDIES,Legal Studies,REGIONAL STUDIES
medicina,MEDICINE,Meridiana,Medioevo
medicine  science in sports  exercise,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,MEDICINE SCIENCE AND THE LAW,CLINICS IN SPORTS MEDICINE
medycyna paliatywna w praktyce,Medycyna Praktyczna,Medycyna Paliatywna-Palliative Medicine,MEDYCYNA PRACY
medycyna pracy ,MEDYCYNA PRACY,Medycyna Praktyczna,Medycyna Sportowa
medycyna sportowa,Medycyna Sportowa,MEDYCYNA PRACY,Medyczna Wokanda
memory,MEMORY,MEMO,Metro
memory and cognition,MEMORY & COGNITION,BRAIN AND COGNITION,Language and Cognition
men disability society,DISABILITY & SOCIETY,Hospitality & Society,Medicine Law & Society
mental health and physical activity,Mental Health and Physical Activity,JOURNAL OF AGING AND PHYSICAL ACTIVITY,Mental Health and Social Inclusion
metacognition and learning,Metacognition and Learning,Vocations and Learning,Education and Training
methodsx,MethodsX,METHODS,ETHOS
midwifery,MIDWIFERY,Medioevo,Medwave
mindfulness,Mindfulness,Indonesia,MOLECULES
molecular genetics  genomic medicine,Molecular Genetics & Genomic Medicine,MOLECULAR GENETICS AND GENOMICS,MOLECULAR ASPECTS OF MEDICINE
molecular neurobiology,MOLECULAR NEUROBIOLOGY,MOLECULAR MICROBIOLOGY,MOLECULAR BIOLOGY
molecular psychiatry,MOLECULAR PSYCHIATRY,Minerva Psychiatry,World Psychiatry
motivation science,IRRIGATION SCIENCE,Lubrication Science,CONNECTION SCIENCE
motivation and emotion,MOTIVATION AND EMOTION,COGNITION & EMOTION,Collection and Curation
multidisciplinary journal of school education,Multidisciplinary Journal of School Education,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,International Journal of Ethics Education
music  science,Medical Science,Design Science,Mining Science
musicae scientiae,MUSICAE SCIENTIAE,ius et scientia,Medical Science
new ideas in psychology,NEW IDEAS IN PSYCHOLOGY,Frontiers in Psychology,MEDIA PSYCHOLOGY
new media  society,NEW MEDIA & SOCIETY,Social Media + Society,GENDER & SOCIETY
niebieska linia dwumiesięcznik poświęcony problematyce przemocy,Revista Latinoamericana de Poblacion,Studies in American Indian Literatures,Studies in American Jewish Literature
nature,NATURE,NATION,Gesture
nature climate change,Nature Climate Change,Journal of Climate Change,NATURE MATERIALS
nature communications,Nature Communications,Cancer Communications,IET Communications
nature human behaviour,Nature Human Behaviour,LAW AND HUMAN BEHAVIOR,ANIMAL BEHAVIOUR
nauka,Nauka,AUK,NANO
nefrologia i dializoterapia polska,Neurologia i Neurochirurgia Polska,Resocjalizacja Polska,NEUROLOGIA MEDICO-CHIRURGICA
neuroimage,NEUROIMAGE,NEUROCASE,NEUROLOGY
neuroimage clinical,NeuroImage-Clinical,NEUROLOGIC CLINICS,MEDICINA CLINICA
neurorehabilitation,NEUROREHABILITATION,REHABILITATION,JOURNAL OF REHABILITATION
neurodegener dis print,Neurodegenerative Diseases,NEUROSCIENTIST,NEUROSCIENCE RESEARCH
neuroendocrinology letters,NEUROENDOCRINOLOGY LETTERS,NEUROENDOCRINOLOGY,Ethnobiology Letters
neurological sciences,NEUROLOGICAL SCIENCES,Urological Science,TOXICOLOGICAL SCIENCES
neuron,NEURON,eNeuro,NEPHRON
neuropharmacology,NEUROPHARMACOLOGY,NEUROPATHOLOGY,PHARMACOLOGY
neuropsychiatr dis treat,NEUROPSYCHIATRIE,Neuropsychological Trends,NEUROMUSCULAR DISORDERS
neuropsychiatric disease and treatment,Neuropsychiatric Disease and Treatment,Neurodegenerative Disease Management,Pain Research and Treatment
neuropsychiatry,NEUROPSYCHIATRIE,NEUROPSYCHOLOGY,JAMA Psychiatry
neuropsychological rehabilitation,NEUROPSYCHOLOGICAL REHABILITATION,CLINICAL REHABILITATION,Neuropsychological Trends
neuropsychology,NEUROPSYCHOLOGY,NEUROPSYCHOLOGIA,NEUROPATHOLOGY
neuropsychopharmacology  official publication of the american college of neuropsychopharmacology,Clinical Journal of the American Society of Nephrology,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Journal of the American College of Clinical Pharmacy
neurorehabil neural repair,NEUROREHABILITATION AND NEURAL REPAIR,NEUROREHABILITATION,EUROPEAN JOURNAL OF PAIN
neuroscience,NEUROSCIENCE,Neurosciences,GeroScience
neuroscience letters,NEUROSCIENCE LETTERS,Geoscience Letters,NEUROSCIENCE RESEARCH
neurosurgical review,NEUROSURGICAL REVIEW,Neurosurgical Focus,PHILOSOPHICAL REVIEW
new directions for child and adolescent development,Journal of Child and Adolescent Mental Health,REPRODUCTION FERTILITY AND DEVELOPMENT,Research on Child and Adolescent Psychopathology
niepełnosprawność i rehabilitacja nr ,Niepełnosprawność i Rehabilitacja,Niepełnosprawność. Dyskursy pedagogiki specjalnej,Postępy Rehabilitacji
niepełnosprawność półrocznik naukowy,Niepełnosprawność i Rehabilitacja,Radca Prawny. Zeszyty Naukowe,CZŁOWIEK NIEPEŁNOSPRAWNOŚĆ SPOŁECZEŃSTWO
nordic journal of music therapy,Nordic Journal of Music Therapy,British Journal of Music Therapy,JOURNAL OF MUSIC THERAPY
nowa audiofonologia,Nowa Audiofonologia,Nowa Stomatologia,Cardio-Oncology
nowa medycyna,NOVA HEDWIGIA,Open Medicine,BMC Medicine
nowa polityka wschodnia,Nowa Polityka Wschodnia,Acta Politica Polonica,New Political Science
nutr j,IUCrJ,STRAD,AUTISM
nutrients,Nutrients,Lubricants,NUTRITION
nutrition journal,Nutrition Journal,NEGOTIATION JOURNAL,PRISON JOURNAL
orl,ARQ,Ból,EPL
obesity surgery,OBESITY SURGERY,Obesity Reviews,BMC Surgery
obesity reviews  an official journal of the international association for the study of obesity,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,Al-Arabiyya-Journal of the American Association of Teachers of Arabic,Reading & Writing-Journal of the Reading Association of South Africa
occupational medicine,OCCUPATIONAL MEDICINE-OXFORD,BEHAVIORAL MEDICINE,CLINICAL MEDICINE
occupational safety  science and practice,Conservation Science and Practice,Musculoskeletal Science and Practice,Global Health-Science and Practice
ochrona i bezpieczeństwo,Polityka i Społeczeństwo,Media i Społeczeństwo,Państwo i Społeczeństwo
ogrody nauk i sztuk,Ogrody Nauk i Sztuk,Geodynamics,MODERNA SPRAK
olejnik a i wsp karm,Polonia Sacra,Etikk i Praksis,ANIMAL WELFARE
omega united states,Logica Universalis,Organised Sound,Romani Studies
oncotarget,Notarzt,ONCOLOGIST,ONCOLOGY
open chemistry,Open Chemistry,Cogent Chemistry,GREEN CHEMISTRY
optimum economic studies,Optimum. Economic Studies,CESifo Economic Studies,REVIEW OF ECONOMIC STUDIES
organizacja i kierowanie,Organizacja i Kierowanie,ORGANIZATION SCIENCE,Organizacija
organizacja i zarządzanie zeszyty naukowe politechniki łódzkiej,Organizacja i Zarządzanie : kwartalnik naukowy,Prakseologia i Zarządzanie. Zeszyty Naukowe TNP,Humanistyczne Zeszyty Naukowe Prawa Człowieka
organization  management scientific quarterly,Computational Management Science,European Sport Management Quarterly,Innovation & Management Review
organizational behavior and human decision processes,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Translational Behavioral Medicine,EURO Journal on Decision Processes
organon f,Organon F,Organon,Megaron
origins of life and evolution of biospheres,ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,Social Evolution & History,Journal of Software-Evolution and Process
oxidative medicine and cellular longevity,Oxidative Medicine and Cellular Longevity,Nuclear Medicine and Molecular Imaging,Evolution Medicine and Public Health
psychologia spoleczna,PSYCHOLOGIA WYCHOWAWCZA,Psychologia Rozwojowa,PEDAGOGIKA SPOŁECZNA
psychological journal,Archaeological Journal,GEOLOGICAL JOURNAL,PsychNology Journal
pain reports,AJP Reports,Cell Reports,Gene Reports
paladyn journal of behavioral robotics,HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,Balkan Journal of Medical Genetics,Journal of Behavioral Science
palliative and supportive care,Palliative & Supportive Care,PALLIATIVE MEDICINE,PHYSICIAN AND SPORTSMEDICINE
patient education and counseling,PATIENT EDUCATION AND COUNSELING,SPORT EDUCATION AND SOCIETY,Tertiary Education and Management
państwo i społeczeństwo,Państwo i Społeczeństwo,Polityka i Społeczeństwo,Media i Społeczeństwo
pedagogika studia i rozprawy,Pedagogika. Studia i Rozprawy,„Polska 1944/45-1989. Studia i Materiały”,PEDAGOGIKA SPOŁECZNA
pediatria polska,Psychiatria Polska,Farmacja Polska,Kardiologia Polska
pediatria polska  polish journal of paediatrics,Alergologia Polska - Polish Journal of Allergology,International Journal of Pediatrics,TURKISH JOURNAL OF PEDIATRICS
pediatric blood  cancer,PEDIATRIC BLOOD & CANCER,PEDIATRIC RESEARCH,PEDIATRIC DIABETES
pediatric obesity,Pediatric Obesity,Pediatric Reports,PEDIATRIC DENTISTRY
peerj,PeerJ,POETRY,HEART
perception,PERCEPTION,i-Perception,Art & Perception
personality and social psychology bulletin,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
personnel review,PERSONNEL REVIEW,Sensor Review,GERMANIC REVIEW
perspectives on psychological science,Perspectives on Psychological Science,Perspectives on Behavior Science,Evolutionary Psychological Science
perspectives on psychological science  a journal of the association for psychological science,Pacific Asia Journal of the Association for Information Systems,Psychiatria i Psychologia Kliniczna-JOURNAL OF PSYCHIATRY AND CLINICAL PSYCHOLOGY,AJS Review-The Journal of the Association for Jewish Studies
perspektywy kultury,Perspektywy Kultury,Konteksty Kultury,Pensamiento y Cultura
pharmaceuticals,Pharmaceuticals,Pharmaceutics,Ars Pharmaceutica
pharmacological reports,Pharmacological Reports,PHARMACOLOGICAL REVIEWS,PHARMACOLOGICAL RESEARCH
philosophical psychology,PHILOSOPHICAL PSYCHOLOGY,BIOLOGICAL PSYCHOLOGY,POLITICAL PSYCHOLOGY
philosophical transactions of the royal society b biological sciences,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES
physica a statistical mechanics and its applications,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS,Statistical Methods and Applications
physical activity review,Physical Activity Review,Physical Sciences Reviews,Physical Therapy Reviews
pielegniarstwo xxi wieku,Ekonomia XXI Wieku,Dziennikarstwo i Media,Prawo i Więź
pielęgniarstwo chirurgiczne i angiologiczne,Pielęgniarstwo Neurologiczne i Neurochirurgiczne,Studia Etnologiczne i Antropologiczne,Kieleckie Studia Teologiczne
pielęgniarstwo polskie,Teologia w Polsce,Dziennikarstwo i Media,Prawo Morskie
pilot and feasibility studies,Journal of Usability Studies,HIGH ABILITY STUDIES,Wesley and Methodist Studies
poetics,POETICS,Pontica,Politics
pogranicze polish borderlands studies,Pogranicze. Polish Borderlands Studies,Journal of Borderlands Studies,Journal of Korean Studies
pogranicze studia społeczne,Studia Społeczne,Konteksty Społeczne,Poznańskie Studia Teologiczne
polish hyperbaric research,Polish Hyperbaric Research,POLISH POLAR RESEARCH,Polish Maritime Research
polish journal of applied psychology,Polish Journal of Applied Psychology,JOURNAL OF APPLIED PSYCHOLOGY,JOURNAL OF APPLIED PHYCOLOGY
polish journal of applied psychology p  ,Polish Journal of Applied Psychology,JOURNAL OF APPLIED PSYCHOLOGY,JOURNAL OF APPLIED PHYCOLOGY
polish journal of public health,Indian Journal of Public Health,Iranian Journal of Public Health,JOURNAL OF PUBLIC HEALTH
polish nursing,CANCER NURSING,BMC NURSING,Polish Libraries
polish psychiatry,World Psychiatry,Alpha Psychiatry,BMC Psychiatry
polish psychological bulletin   doi  ,PSYCHOLOGICAL BULLETIN,PSYCHONOMIC BULLETIN & REVIEW,Polish Sociological Review
political preferences,Political Preferences,POLITICAL SCIENCE,POLITICAL STUDIES
political psychology,POLITICAL PSYCHOLOGY,BIOLOGICAL PSYCHOLOGY,ECOLOGICAL PSYCHOLOGY
polityka społeczna,Polityka Społeczna,PEDAGOGIKA SPOŁECZNA,Polityka i Społeczeństwo
pomegranate,Pomegranate,Aggregate,GRANA
pomeranian journal of life sciences,Iranian Journal of Earth Sciences,Arabian Journal of Geosciences,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES
poradnik językowy,Kształcenie Językowe,Pojazdy Szynowe,Pravni zapisi
postepy w kardiologii interwencyjnej,Postępy w Kardiologii Interwencyjnej,POSTĘPY BIOLOGII KOMÓRKI,Postępy Dermatologii i Alergologii
praca socjalna,Praca Socjalna,Prisma Social,Acta Koreana
praktyka teoretyczna,Praktyka Teoretyczna,Polityka Społeczna,Dydaktyka Polonistyczna
praxis der kinderpsychologie und kinderpsychiatrie,PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE,Clinical Child Psychology and Psychiatry,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY
prima educatione,Prima Educatione,BJA Education,In Education
primates,PRIMATES,Climate,Images
problems of forensic sciences,JOURNAL OF FORENSIC SCIENCES,ANNALS OF FOREST SCIENCE,JOURNAL OF FIRE SCIENCES
problemy higieny i epidemiologiiproblems of hygiene and epidemiology,Emerging Themes in Epidemiology,Revista Gestao & Tecnologia-Journal of Management and Technology,Physicochemical Problems of Mineral Processing
problemy kryminalistyki,Problemy Kryminalistyki,Problemy Jakości,Problemy Współczesnej Kryminalistyki
problemy opiekuńczowychowawcze,PROBLEMY OPIEKUŃCZO WYCHOWAWCZE,Problemy Ekorozwoju,PSYCHOLOGIA WYCHOWAWCZA
problemy higieny i epidemiologii,GENETIC EPIDEMIOLOGY,Polimeros-Ciencia e Tecnologia,Journal of Cancer Epidemiology
proceedings of the national academy of sciences,Proceedings of the Estonian Academy of Sciences,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,Annals of the New York Academy of Sciences
proceedings of the royal society b biological sciences,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
proceedings of the sts conference graz ,PROCEEDINGS OF THE IEEE,PROCEEDINGS OF THE NUTRITION SOCIETY,Proceedings of the VLDB Endowment
progress in neuropsychopharmacology and biological psychiatry,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,Progress in Neurology and Psychiatry,Journal of Psychopathology and Clinical Science
progress in neurobiology,PROGRESS IN NEUROBIOLOGY,Progress in Nutrition,Frontiers in Microbiology
progress journal of young researchers,European Journal of Tourism Research,EUROPEAN JOURNAL OF FOREST RESEARCH,Chinese Journal of Cancer Research
protetyka stomatologiczna,Minerva Stomatologica,Nowa Stomatologia,Przegląd Dermatologiczny
przedsiębiorczość i zarządzanie,Przedsiębiorczość - Edukacja,Przedsiębiorstwo Przyszłości,Akademia Zarządzania
przedszkolne abc,Rzeczoznawca,PRESLIA,PEDOBIOLOGIA
przeglad epidemiologiczny,Przegląd Dermatologiczny,Przegląd Archeologiczny,Przegląd Politologiczny
przegląd prawa administracyjnego,Przegląd Prawa Administracyjnego,Przegląd Prawa i Administracji,Przegląd Prawa Konstytucyjnego
przegląd socjologii jakościowej,PRZEGLĄD SOCJOLOGII JAKOŚCIOWEJ,PRZEGLĄD SOCJOLOGICZNY,Przegląd Politologiczny
przegląd więziennictwa polskiego,PRZEGLĄD PRAWA ROLNEGO,Przegląd Zachodniopomorski,Przegląd Prawa Publicznego
psicologia reflexao e critica,Psicologia-Reflexao e Critica,Psicologia Educativa,Psicologia e Saber Social
psicologia reflexão e crítica,Psicologia-Reflexao e Critica,Psicologia Educativa,Psicologia e Saber Social
psicológica,Psicologica,Psihologija,Psychologica
psychiatr pol,Psychiatria Polska,Psychoterapia,PsyCh Journal
psychiatr psychol klin,Social Psychology,Psychiatry Psychology and Law,PSYCHIATRISCHE PRAXIS
psychiatria,PSYCHOLOGIA,PSYCHOMETRIKA,Geriatria
psychiatria danubina,Psychiatria Danubina,Psychiatria Polska,PSYCHIATRIC GENETICS
psychiatria po dyplomie,Psychiatria Polska,Psychiatria Danubina,Psychiatric Bulletin
psychiatry research  neuroimaging,PSYCHIATRY RESEARCH-NEUROIMAGING,PSYCHIATRY RESEARCH,Biochemistry Research International
psychiatry psychology and law,Psychiatry Psychology and Law,Psychology and Law,PSYCHOLOGY PUBLIC POLICY AND LAW
psychoanalytic psychology,PSYCHOANALYTIC PSYCHOLOGY,Psychoanalytic Psychotherapy,Psychoanalytic Social Work
psychogeriatrics,Psychogeriatrics,PSYCHOSOMATICS,BMC Geriatrics
psychologia ekonomiczna,PSYCHOLOGIA WYCHOWAWCZA,Psychologia Rozwojowa,PSYCHOLOGICA BELGICA
psychologia rozwojowadevelopmental psychology,European Journal of Developmental Psychology,JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY
psychologia wychowawcz,PSYCHOLOGIA WYCHOWAWCZA,Psychologia Rozwojowa,PSYCHOLOGICAL SCIENCE
psychologia w praktyce nr  s ,PSYCHOLOGIA WYCHOWAWCZA,Psychologie Francaise,PSYCHOLOGICAL REPORTS
psychologia w szkole,Psychologia Rozwojowa,Psicologia Sociale,PSYCHOLOGICAL RECORD
psychologica belgica,PSYCHOLOGICA BELGICA,GEOLOGICA BELGICA,Psychological Services
psychological assessment,PSYCHOLOGICAL ASSESSMENT,PSYCHOLOGICAL SCIENCE,PSYCHOLOGICAL REVIEW
psychological bulletin,PSYCHOLOGICAL BULLETIN,BIOLOGICAL BULLETIN,Psychiatric Bulletin
psychological inquiry,PSYCHOLOGICAL INQUIRY,SOCIOLOGICAL INQUIRY,PSYCHOLOGICAL REVIEW
psychological journal  ,Archaeological Journal,GEOLOGICAL JOURNAL,PsychNology Journal
psychological reports  ,PSYCHOLOGICAL REPORTS,PSYCHOLOGICAL RECORD,Physiological Reports
psychological reports  ,PSYCHOLOGICAL REPORTS,PSYCHOLOGICAL RECORD,Physiological Reports
psychological research,PHYCOLOGICAL RESEARCH,PHYSIOLOGICAL RESEARCH,ECOLOGICAL RESEARCH
psychological services,Psychological Services,PSYCHOLOGICAL REVIEW,PSYCHOLOGICAL SCIENCE
psychological test adaptation and development,PUBLIC ADMINISTRATION AND DEVELOPMENT,MOLECULAR REPRODUCTION AND DEVELOPMENT,Petroleum Exploration and Development
psychologie a její kontexty,Psychology & Sexuality,PSYCHOLOGICAL REPORTS,PSYCHOLOGICAL MEDICINE
psychology,PSYCHOLOGIA,PATHOLOGY,PSYCHOLOGIST
psychology  health,PSYCHOLOGY & HEALTH,Psychology & Sexuality,Psychology and Law
psychology  sexuality,Psychology & Sexuality,Theology & Sexuality,PSYCHOLOGY & HEALTH
psychology research,ONCOLOGY RESEARCH,PSYCHIATRY RESEARCH,Hydrology Research
psychology research and behavior management,Psychology Research and Behavior Management,Transplant Research and Risk Management,SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE
psychology research   pp ,ONCOLOGY RESEARCH,PSYCHIATRY RESEARCH,Hydrology Research
psychology and aging,PSYCHOLOGY AND AGING,Psychology and Law,PSYCHOLOGY & MARKETING
psychology and health,PSYCHOLOGY & HEALTH,Psychology and Law,PSYCHOLOGY AND AGING
psychology and law,Psychology and Law,PSYCHOLOGY AND AGING,PSYCHOLOGY CRIME & LAW
psychology in the schools,PSYCHOLOGY IN THE SCHOOLS,COMPUTERS IN THE SCHOOLS,PSYCHOLOGY & HEALTH
psychology of aesthetics creativity and the arts,Psychology of Aesthetics Creativity and the Arts,Psychology in Russia-State of the Art,Journal of Mathematics and the Arts
psychology of language and communication,Hearing Balance and Communication,LANGUAGE & COMMUNICATION,Journal of Language and Politics
psychology of music,Psychology of Music,Psychology of Violence,PSYCHOLOGY & HEALTH
psychology of personality,Psychology & Sexuality,JOURNAL OF PERSONALITY,PSYCHOLOGY & HEALTH
psychology of religion and spirituality,Psychology of Religion and Spirituality,Psychology of Men & Masculinity,PSYCHOLOGY OF SPORT AND EXERCISE
psychology of sexual orientation and gender diversity,Psychology of Religion and Spirituality,PSYCHOLOGY OF SPORT AND EXERCISE,Psychology of Aesthetics Creativity and the Arts
psychology of sport and exercise,PSYCHOLOGY OF SPORT AND EXERCISE,Psychology of Popular Media,Journal of Human Sport and Exercise
psychology crime  law,PSYCHOLOGY CRIME & LAW,Psychology and Law,PSYCHOLOGY & HEALTH
psychoneuroendocrinology,PSYCHONEUROENDOCRINOLOGY,NEUROENDOCRINOLOGY,PSYCHO-ONCOLOGY
psychoonkologia,Psycho-Oncologie,PSYCHO-ONCOLOGY,PSYCHOLOGIA
psychophysiology,PSYCHOPHYSIOLOGY,PSYCHOPATHOLOGY,NEUROPHYSIOLOGY
psychosis,PSYCHOLOGIST,SYMBIOSIS,Synesis
psychosomatic medicine and general practice,Palliative Medicine in Practice,PSYCHOSOMATIC MEDICINE,Eye & Contact Lens-Science and Clinical Practice
psychoterapia,Psychoterapia,Psychotherapie,PSYCHOTHERAPY
psychotherapeut,PSYCHOTHERAPEUT,Psychotherapie,PSYCHOTHERAPY
psychotherapy,PSYCHOTHERAPY,Psychotherapie,PSYCHOTHERAPEUT
psychotherapy and psychosomatics,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHERAPY RESEARCH,RADIOTHERAPY AND ONCOLOGY
psyecology,ECOLOGY,PHYSIOLOGY,PHLEBOLOGY
